reviewer_name,reviewer_header_comment,reviewer_detail_comment,review_date,product_star
by Ikenna,I like it,Good user experience,25-04-2023,5 out of 5
by usman Idowu,Working good,"Easy to use and working great,is highly recommendable",25-04-2023,5 out of 5
by Debbie,I like it,Very nice.,24-04-2023,4 out of 5
by Azeez,love it,"awesome, just as seen",21-04-2023,5 out of 5
by Ernest,Excellent,Quality,21-04-2023,5 out of 5
by David,I love it,It's working perfectly,20-04-2023,5 out of 5
by Ebenezer,Excellent,"Very wonderful product.
No regrets!",20-04-2023,4 out of 5
by Joshua,Great product.,Keep it up,19-04-2023,5 out of 5
by Abiodun,I love it,Exactly what I ordered for,19-04-2023,5 out of 5
by Adejuwon Adewale,Sleek and Smooth,This mouse is really giving I like the lightning functions too,18-04-2023,5 out of 5
by Micaiah,Great,It's working fine,17-04-2023,5 out of 5
by Vivian,Good product,"Money well spent, I recommend.",17-04-2023,5 out of 5
by Dorathy,Quite the mouse,It's sleek and smooth to touch,13-04-2023,4 out of 5
by Sofie Charles,It’s good,Sleek and works fine,11-04-2023,5 out of 5
by Emmanuel,Durable,Very useful and durable,10-04-2023,5 out of 5
by Davol,Highly Recommendable,Noiseless and smooth. Worth every penny.,10-04-2023,5 out of 5
by Praise,Just perfect,This a very quick to respond wireless mouse. I love the color combination and the fact that it takes more than 72hrs to run down. Just perfect !!!,07-04-2023,5 out of 5
by Sylvia,I like it,Really good to use. Sleek too,06-04-2023,5 out of 5
by Odafe,I love it,The product is excellent,05-04-2023,5 out of 5
by Anonymous,Perfect Product,It works perfectly and last for many days.,03-04-2023,5 out of 5
by KAFFO,Good,Works perfectly,03-04-2023,5 out of 5
by Nnamdi,I like it,It's exactly what it is in the picture. And it doesn't make any clicking sound,03-04-2023,5 out of 5
by Olorunshola,I love it,It good and colourful ????,03-04-2023,5 out of 5
by Michael,I love it,Long lasting battery and smooth working experience,31-03-2023,5 out of 5
by Nk,Good,Perfect tool,30-03-2023,5 out of 5
by Amos,Sleek,"A must have, but handle it gently and don’t let it fall.",28-03-2023,5 out of 5
by Kay,Works well,"It’s a nice product, working well for now and it lasts long before you have to charge it. Only ick is that the white gets dirty quickly so you might wanna get the black color.",28-03-2023,5 out of 5
by Sodiq,It's cool,It sleek on palm and it's noiseless when using it.,27-03-2023,4 out of 5
by Johnson,I love it,"It's slim. It's slick. It's perfect!
It's very comfortable and ergonomic to use. One charge can go for a week. That's quite impressive.",24-03-2023,5 out of 5
by ebenezer,perfect,its quit okay and nice,21-03-2023,5 out of 5
by Chi,I like it,Nice product,20-03-2023,4 out of 5
by Moshood Olalekan,I love it,Very Nice a product and it was as seen.,20-03-2023,4 out of 5
by Love,I like,It is good as seen,20-03-2023,5 out of 5
by Taofeek,Smooth,Silent and super smooth,17-03-2023,5 out of 5
by BADIYAH,"Sleek, beautiful","Sleek beautiful design, just as displayed on the page. Functionality is so far good.",15-03-2023,5 out of 5
by Chidera,Absolutely perfect,I have been using it for months and it is durable. I recommend this.,14-03-2023,5 out of 5
by UGOCHUKWU,Great,Sleek and stylish,08-03-2023,4 out of 5
by Babajide,Good.,Good. But I don't like the lights.,27-02-2023,5 out of 5
by Matilda,Good product,"Works well, value for money but light materials. For the price, it is worth it",27-02-2023,4 out of 5
by Chukwuemeka,GOOD FOR NOW,I LIKE IT,20-02-2023,4 out of 5
by Nate,Good product,I like it,20-02-2023,4 out of 5
by Owolabi D. Moses,I like it,Just as described. It's work well,16-02-2023,5 out of 5
by Uchenna,flashy but Fragile,"This mouse is flashy. I love the colourful light and the fact that you can charge it. However, it is very fragile and can easily break. I was extremely careful with it until it fell from my sister and that's the end.",16-02-2023,3 out of 5
by Amarachi,Works well ????????,"Love the colours, the mouse is easy to use",15-02-2023,4 out of 5
by Kingsley Adegboyega,Comment,"A perfect one really. Easy to use and very convenient. No complications at all, I love it.",13-02-2023,5 out of 5
by Peter,Great,"Working perfectly well, duration without recharging beats my imagination, can use for two weeks without recharging.",13-02-2023,5 out of 5
by felix,Nice,serve the purpose,13-02-2023,5 out of 5
by Oluwatimileyin,I like the product,Exactly what you see. easy to use. Good product overall,13-02-2023,4 out of 5
by Izuka,It’s lovely,"The product is great, came as advertised. It’s simply beautiful",13-02-2023,5 out of 5
by Sandeep,Fancy and good,Overall good,13-02-2023,4 out of 5
by JNK,Really nice.,"I really love this mouse. But it only lasts for 2days instead of the 3weeks this people emphasized on, which is also okay.",08-02-2023,5 out of 5
by Emmanuella,its as described,3 stars cause the battery doesn't last,07-02-2023,3 out of 5
by Emmanuel,A good buy,"It's a very good mouse, soft and noiseless clicks. I enjoy using it. Lasts forever and only charge whenever I feel like it. Beautiful multicolour lights, especially in the dark.",06-02-2023,5 out of 5
by Abraham,I love the mouse,I've been using it since I received it and it's very good.,06-02-2023,5 out of 5
by Susan,I love it,Just as seen and described,06-02-2023,5 out of 5
by Ahanonu Tochukwu Kennis,I love it,Very smooth,02-02-2023,5 out of 5
by vicclassic,beautiful,Beautiful,24-01-2023,5 out of 5
by Ifeanyichukwu,very nice,The item is supper dope,23-01-2023,5 out of 5
by Oluwatobi,Great product,It is a very good product. The person I bought it for has been using it for over 4 months. No hitch at all,23-01-2023,5 out of 5
by OGHENETEGA,great product!,it's exactly as displayed. lovely product.,20-01-2023,5 out of 5
by Ezeocha,Excellent,Soft n silent click. I charged it just once n have used it 3 days now,20-01-2023,5 out of 5
by Ooree,reliable and energy saving,"It doesn't consume energy, hence saves a lot. Fast and reliable.",20-01-2023,5 out of 5
by Favour,I like it,It's sleek and has a nice feel,18-01-2023,5 out of 5
by Yemi,I love it,The device works well and meets expectations.,16-01-2023,5 out of 5
by Chiamaka,I like it.,Exactly as picture and the light is so beautiful. I've got a lot of my colleagues asking me questions about it. It works really well. Smooth to control and the clicks are basically silent.,16-01-2023,5 out of 5
by MICHAEL,working perfectly well,Just as ordered,16-01-2023,5 out of 5
by Sodiq,Good,"Very good, it's just as described.",13-01-2023,5 out of 5
by Abdulmalik,correct,Decent mouse,09-01-2023,5 out of 5
by Yvonne,i loveeeeee it,"just because of how attractive it is when i use it, i have colleagues that have also made an order, it lasts long after its fully charged, and i use it for almost 72 hrs before i recharge, when idle i turn it off, that saves the battery life.",06-01-2023,5 out of 5
by Yemi,good product,I love it.,03-01-2023,5 out of 5
by Wisdom,cool,It's serving,03-01-2023,5 out of 5
by Obasogie,I Love it,"It came as advertised, long lasting battery and silent buttons, it's worth buying",03-01-2023,5 out of 5
by TOBI,Nice product,Nice aesthetics and easy to use,27-12-2022,5 out of 5
by Olaoluwa,works fine,It's work fine,22-12-2022,4 out of 5
by Olayiwola,Good,"Slim and beautiful. Also works perfectly well.  
Not bad for the price",21-12-2022,4 out of 5
by Ahamefula,The item is working fine,It is swift and working fine,19-12-2022,5 out of 5
by Mbun Desmond,I like it,It's good,19-12-2022,4 out of 5
by Ernest Vincent,Love it,Its light and so good,12-12-2022,5 out of 5
by Chinemerem,I like it,Just okay,12-12-2022,5 out of 5
by Ritarilla Barick,Exceeded expectation,"Great, easily to use and cute",12-12-2022,5 out of 5
by Ihuoma,Very Satisfied,This mouse is noiseless and seamless. I love it so much. Had to order one for a colleague,12-12-2022,5 out of 5
by Gomez Ojo,Superb ????,I love it ❤️,09-12-2022,5 out of 5
by Olubukola,I like it,What I ordered vs what I got....perfectly working,06-12-2022,5 out of 5
by Adegboye,good,Good product,06-12-2022,5 out of 5
by Shadfem,Very perfect,"Quick response to operation
Good display lightening 
Portable and handy
Work to speculation and expectation",05-12-2022,5 out of 5
by Richard,Good product,"Absolutely amazing ,perfect n fast",05-12-2022,5 out of 5
by Desire Orji,I like it,It works well,05-12-2022,5 out of 5
by Gb,Perfecto,Really connects fast and amazing features. Long lasting battery too,02-12-2022,5 out of 5
by Emmanuel,Fantastic,"This is worth every kobo paid, fantastic product!",02-12-2022,5 out of 5
by Daniel,Perfect,I have used it for about 5 months now. It is relatively the best external mouse I have ever used. The buttons are very silent. Battery life lasts about 2 weeks before delaying in response and it charges for like 30 minutes. More than enough value for your money.,02-12-2022,5 out of 5
by John,Good product,Performance is topnotch,30-11-2022,4 out of 5
by Zakariyau Omobolanle,Good,Working perfectly,30-11-2022,4 out of 5
by Nwabundo,Sleek,It's very swift to use,29-11-2022,5 out of 5
by Lateef,I like it,It nice and perfect just the way I like it,29-11-2022,3 out of 5
by Abayomi,I like it,"Exactly what I ordered, I love it",28-11-2022,5 out of 5
by Ibraheem,Nice,Love the design,28-11-2022,4 out of 5
by Oluseun,Smooth response,Very handy device for efficient use,28-11-2022,5 out of 5
by Martins,works beautifully!!,Smooth and has a nice lightweight feel to it. It's so responsive that you actually forget it's a wireless mouse and at the same time you don't eve,28-11-2022,5 out of 5
by Pathoski,Great,"I like the streamline shape and the response time on my screen, no lagging at all.
I also enjoyed the power retention. A good device to have.",28-11-2022,5 out of 5
by Timothy,Awesome Product,"If there is 10 start, I will give it to this product",28-11-2022,5 out of 5
by Jacob,Soft snd Handy,Soft and Handy,25-11-2022,5 out of 5
by Samuel Olubodun,Nice,"I have been using it since 4 months now, long lasting battery. And it is solid compare to the one I bought before.",25-11-2022,5 out of 5
by Tomisin,PERFECT MOUSE,"I like the sleek model, the lights, the weight, the comfortability, the charging mode 

Perfect mouse for tech guys",25-11-2022,5 out of 5
by OKIKIOLA,perfect,"Slim, longlasting & noiseless.",24-11-2022,5 out of 5
by Oyetunde,Mouse is Good,The product worth more than the amount. The battery is long and the mouse superb. I love it,23-11-2022,5 out of 5
by Eva,loved it,"Battery last well, doesn't pain the wrists while using. Loved the design and the lights.",21-11-2022,5 out of 5
by Vicclasic,beautiful,Worth the money,21-11-2022,5 out of 5
by Charity,I love it,Very light and it works perfectly....i got exactly what i ordered,18-11-2022,5 out of 5
by Ruth,I love it,I love it. It was just as I saw it. It works really well. Well done team,18-11-2022,5 out of 5
by Isola,I like it,It worked excellently well,18-11-2022,5 out of 5
by Victor,great product,nice product,18-11-2022,5 out of 5
by Smith,speed and design,It was good,17-11-2022,5 out of 5
by Nene,its okay,Its sleek,17-11-2022,5 out of 5
by Emereonye,I like it,but it's kinda fragile. Good for the price.,17-11-2022,4 out of 5
by Debbie,I love it,Sleek and soundless click.,14-11-2022,5 out of 5
by Abubakar,i like it,I enjoy working with is wonderful,14-11-2022,5 out of 5
by P.S. Herbert,An Underrated Mouse,"Ok, I've been gushing over this mouse since it arrived. But I have one big complaint: I can't give it more than 5-stars because it deserves more for the classy, catchy design. The changing multiple lights makes it such a show off. And the battery must have been snatched from a Nokia phone. It's that strong. Sad I can't use more than one",14-11-2022,5 out of 5
by Adeniyi Owojuyigbe,Great Product,Lasting battery,14-11-2022,5 out of 5
by ADEMOLA,I like it.,"Very good, Very handy and effective.",14-11-2022,4 out of 5
by Sodik,Efficient and Durable,The mouse has a good battery life and very sharp. The sharpness only reduce when battery is low. Highly recommended.,11-11-2022,5 out of 5
by KEMEBIYE,wonderful,Nice watch,11-11-2022,5 out of 5
by Grace,I love it,"It's perfect, works well.. muah",10-11-2022,5 out of 5
by Anyia,Love it,Making my work easier.,10-11-2022,5 out of 5
by Sheriff Olawale,Nice and lovely product,It’s exactly what i ordered i got.,09-11-2022,5 out of 5
by Mujahid,Love it,Love the ultra thin feeling and the colors too. It's amazing,08-11-2022,5 out of 5
by Dolapo,Amazing,I really love it. So sleek and design! Thanks to the seller.,07-11-2022,5 out of 5
by Hussein,if is nice,It is does not make noise and it works on any surfaces,07-11-2022,5 out of 5
by Busayo,Superb,"The mouse is awesome. One charge last long. The connection with the driver is perfect, the response rate is high and no lag at all. Meanwhile the difference light display is top notch. I love so much and it's working perfectly since I bought.",07-11-2022,5 out of 5
by Ikechukwu,Speed and efficiency,This is superb,07-11-2022,5 out of 5
by Tolulope,standard,Working perfectly,04-11-2022,5 out of 5
by Goodness,I like it,Battery life is great,04-11-2022,5 out of 5
by Segun,I like it,I can't stop purchasing and recommending this mouse for friends and colleagues.,03-11-2022,5 out of 5
by Chitoo,Nice.,"It's very ok, it's been serving me well, but I just wish it was a slightly bigger.",01-11-2022,4 out of 5
by adewale,I love it,Pretty nice,31-10-2022,5 out of 5
by George,Beautiful,It’s very sleek and beautiful,31-10-2022,5 out of 5
by bukola,Beautiful,I love it,31-10-2022,5 out of 5
by Jaysen,In love with it.,The mouse is perfect. No clicking sound and the battery is superb. I've used it extensively for over 3 weeks now on a single charge.,31-10-2022,5 out of 5
by Olugbenga,as described,Smooth,31-10-2022,5 out of 5
by Mustapha,Like it,Working perfectly,27-10-2022,5 out of 5
by Chioma,Got what I ordered,The mouse is pretty sleek and handles well. So far no problems yet.,26-10-2022,5 out of 5
by Emmanuel Duke,I don’t know,It’s alright,20-10-2022,5 out of 5
by Alicia,so convenient!!!,IT WAS  SO WORTH IT,18-10-2022,5 out of 5
by Success,Efficient,"Very efficient and user friendly, try it out",18-10-2022,5 out of 5
by Possible,Classic,I just love it,17-10-2022,4 out of 5
by Mary,????????,"This mouse is dupe. 
I am a happy and satisfied customer ????????????",17-10-2022,5 out of 5
by Aduragbemi,I love it,Very efficient,13-10-2022,5 out of 5
by Oluseun,I liked it,"Simple, classy and last longer",10-10-2022,5 out of 5
by Miracle,I like it,"It actually a cul and satisfactory product, top notch",10-10-2022,5 out of 5
by Philemon,Simply Amazing,You can't afford to miss this product. Everything about it is great.,07-10-2022,5 out of 5
by Babs,Sleek n soft,I like it n d fact dat it's light weight makes it  sweet for me,05-10-2022,4 out of 5
by samsideen,"I like it, very smooth.",The mouse is cute and pointer accurate,04-10-2022,5 out of 5
by Daniel,I like it,I like the different colours that it showcases,04-10-2022,5 out of 5
by LOUIS,Ok,Works well,30-09-2022,5 out of 5
by JOSHUA,Nice and Sleek as advertised,"Very beautiful product. Love to buy it again
I highly recommend",30-09-2022,4 out of 5
by FT,I like it,Works well,28-09-2022,5 out of 5
by Emmanuel,Very Good,"I've been using this for the past 6 months, it's a good purchase, has a good batter life and lasts long when charged.",27-09-2022,5 out of 5
by Oluwatosin,well okay,I like it it's smooth and pretty to use,26-09-2022,1 out of 5
by Lotanna,Okay,Working perfect but hope it last,26-09-2022,5 out of 5
by Michael,okay,It's okay,26-09-2022,5 out of 5
by Erlich Bachman,Nice,Decent mouse just not happy about the flashing led lights.,19-09-2022,3 out of 5
by Adam,Sleek and smooth,It's very sleek and smooth.... I enjoyed using it and it's very light... I have used it for less than a week now and so far so good.... AREWAKONNECT,16-09-2022,5 out of 5
by ViNe69,Good,"A very nice and portable mouse, the lightning makes it look fun provided with different colours. A good buy.",13-09-2022,5 out of 5
by ViNe69,Good,"A very nice and portable mouse, the lightning makes it look fun provided with different colours. A good buy.",13-09-2022,5 out of 5
by Ndipmo,simply okay. He mouse works fine.,The capacity of the battery could be improved on.,12-09-2022,4 out of 5
by Godwin,wireless mouse,Perfectly perfect,12-09-2022,5 out of 5
by HIKMAH,Beautiful,This mouse is so sleek and easy to use. I love everything about it and all the features are as described. Great addition!,05-09-2022,5 out of 5
by Tomiwa,As expected,Good battery too and sleek,05-09-2022,4 out of 5
by Emmanuel,Amazing Product,"The mouse really surprised me, cause of the in built battery and it doesn't die out. Only get low, after long use. Amazing product.",05-09-2022,5 out of 5
by Olaitan,I like it,A good product it is.,02-09-2022,4 out of 5
by omowumi,nice,"Good product 
Delivered as seen",02-09-2022,5 out of 5
by Boutiti,Perfect,It's working well,30-08-2022,5 out of 5
by Blessing,Satisfactory,"Is swift in operation 
Fast response",29-08-2022,5 out of 5
by OLIVER,Nice product,"Noiseless, soft click and sleek. I'm enjoying it so far.",29-08-2022,5 out of 5
by VICTOR,i.love it,Super good and work smoothly,29-08-2022,5 out of 5
by Abubakar,i love it,"the product is good but because of the lightening, the battery only lasted me 3days",29-08-2022,5 out of 5
by Grace,I like it,"Product is sleek, matches description and it's working fine presently...",29-08-2022,4 out of 5
by Emmanuel,I love it,It's sleek,26-08-2022,5 out of 5
by Emmanuel,cool,Cool love it,25-08-2022,5 out of 5
by michael,good,Better,25-08-2022,4 out of 5
by quazeem,Very nice,"The mouse is just as advertised,  nothing different. It's very sleek and cool. Would recommend it for everyone.",24-08-2022,5 out of 5
by Tobi,It's nice works fine,It works fine,23-08-2022,5 out of 5
by pSmart,It's good sha,"But my spoilt early
Didn't last up to two weeks",23-08-2022,2 out of 5
by Adesanya Kweenie,Perfect,Works perfectly with a lasting battery,22-08-2022,5 out of 5
by VICTOR,I like it,"It is nice cool, silent mouse click and easy to use",22-08-2022,4 out of 5
by Bee,works fine,"Simple to use, weeks fine, let's see how long it will last. At least I can relax & rest my back and control the cursor rather than slouch.",19-08-2022,4 out of 5
by susan,it works well,It is very sharp and sensitive and is very beautiful,19-08-2022,5 out of 5
by BONIFACE NDUKWE,excellence,Nice exactly what I ordered,19-08-2022,5 out of 5
by Enny,I like it,It's easy to use and currently working well.,15-08-2022,4 out of 5
by Edward,AMAZING PRODUCT,It's definitely a cheap price for what it offers you. Sleek and portable. Really love the sweat-resistant texture and RGB lights....so so amazing for the price! It's a good buy!,15-08-2022,5 out of 5
by Gift,its really good,"Very sleek, great looking product and it works fine",13-08-2022,5 out of 5
by Gift,its really good,"Very sleek, great looking product and it works fine",13-08-2022,5 out of 5
by Gift,its really good,"Very sleek, great looking product and it works fine",13-08-2022,5 out of 5
by Abdulhakeem,Fits,"It's good, on a scale of bad - excellent",12-08-2022,4 out of 5
by GLORIA,I love it!,It's beautiful and sleek and works perfectly! It also lasts for days if charged for about 2-3 hours.,12-08-2022,5 out of 5
by BUCHI,Its Ok,But sometimes it freezes.,08-08-2022,3 out of 5
by James,great,Doing it's work,08-08-2022,5 out of 5
by Folayemi,I like it,"Nice mouth, had no issues so far",08-08-2022,4 out of 5
by Abidoye Muhmin,Good,The mouse is working perfectly and everything about it is absolutely amazing,08-08-2022,3 out of 5
by Kingsley,The absolute best,"I love the sleek design, it's beautiful and has been working very well.",05-08-2022,5 out of 5
by Sophia,Strong,Just as displayed. I love the multi-colored lights. Working well.,04-08-2022,5 out of 5
by Chy,Good,"Nice. Quiet clickingJust that sometimes, the scroller might not work for a few seconds. It's worth the money",04-08-2022,4 out of 5
by Abisola,Really good,This is a great product,02-08-2022,5 out of 5
by OLUWAFEMI,Its ok,Its four months and am still enjoying it. no noise and last long. the precision not bad,01-08-2022,5 out of 5
by John,Perfect,Works and still working perfectly,01-08-2022,5 out of 5
by M.,great,Just as described,01-08-2022,5 out of 5
by OJO,Very good,I love it.,01-08-2022,5 out of 5
by CHUBI,Exactly as I expected it,"The only wish you can turn off the light, but it is great in general. Cursor speed is good, and the battery lasts",01-08-2022,5 out of 5
by Olabowale,Beautiful,The colours are just beautiful and the battery lasts very long. Connection with my system is also seamless,01-08-2022,5 out of 5
by ELIJAH,as shown,Good product. I like it. It makes me want to work on my PC always,30-07-2022,4 out of 5
by Josi'ah,This is the best...,"Way better than described, great battery, beautiful color, no click sound... Its the best for me...",27-07-2022,5 out of 5
by SANNI,Great Product.,Beautifully designed and very functional.,27-07-2022,5 out of 5
by SAMSON,mouse,Perfect..! Noiseless ????,27-07-2022,5 out of 5
by Saidu,I like it,"the mouse work smoothly, i pray it last long. cause i just got it some days ago",26-07-2022,4 out of 5
by Steve gODVAL,I love it,Very nice and smart,26-07-2022,5 out of 5
by Iyekowa CAPUA,Fabulous,I love it,26-07-2022,5 out of 5
by GOVERNOR,I like it,It's nice and feels smooth to use. No funny click sounds and very silent to use most especially in quiet offices or night usage.,25-07-2022,4 out of 5
by Okediya,???? nice one,Perfect ????,25-07-2022,5 out of 5
by Stephen,Duarable and long lasting battery,Without sound and efficient. I'm enjoying it,25-07-2022,5 out of 5
by Ikechukwu,Cool order,Very nicr,25-07-2022,5 out of 5
by Ekari,great,mouse lasts for long. and can be used while charging. its long tho,25-07-2022,4 out of 5
by Joshua,Beautiful Wireless mouse,"I like it, it fits my hand and i love the silent click of the mouse.",25-07-2022,5 out of 5
by Julius,Nice product,Very sleek and noiseless,22-07-2022,5 out of 5
by Samuel,perfect,It work well and perfect for me oo,22-07-2022,5 out of 5
by James Oluwaseun,I like it,Just some works to be done one the click-drag.,22-07-2022,4 out of 5
by Real,Good,The item is very durable and last longer..,20-07-2022,5 out of 5
by ojo,I like it,It's sleek and works well.,19-07-2022,4 out of 5
by Abdulmumeen,Functional and Powerful Mouse,"It's quite slim and sensitive. Also have strong battery, I hardly ever need to charge it .",19-07-2022,5 out of 5
by BOL,It's nice so far,It's exactly what i wanted...,18-07-2022,4 out of 5
by Keith,Lovely,Ultra sensitive and really fine mouse,18-07-2022,5 out of 5
by Aromire,Very good,"Still enjoying it, battery lasts well",15-07-2022,4 out of 5
by Abdulrasheed Garba,Excellent,I love it,14-07-2022,5 out of 5
by Lucy,i like it,Working perfectly fine,13-07-2022,4 out of 5
by Seun,Nice,"It's a nice mouse. But after like 3 months if use, the right click button doesn't respond as quick.",13-07-2022,4 out of 5
by msthub.org,Awesome!,I love the fact that I can be charging it and using it at the same time. The mouse is very responsive and easy to use.,13-07-2022,5 out of 5
by Marvellous,loved the mouse,"So slick and comfy, I love it, but would have been better if the lights doesn't bleed though the paint coating.",11-07-2022,5 out of 5
by Adekunle,It works smoothly without a noise,I love it with the lights,11-07-2022,5 out of 5
by Favour,Worth for money,Good for the money. Serves it's purpose effectively,11-07-2022,4 out of 5
by Precious,I love it,Super sleek,08-07-2022,5 out of 5
by Africa,Nice Product.,I just love it.,07-07-2022,5 out of 5
by Adedeji,cool,Nice and good,06-07-2022,5 out of 5
by Dax,Excellent,I love it,05-07-2022,5 out of 5
by mojolaoluwa,Noiseless and nice,The outstanding feature is the smooth use and noiseless clicks. Very nice,04-07-2022,5 out of 5
by Sigbenu,Superb,I love the mouse...it works perfectly with a long power life...,04-07-2022,5 out of 5
by Abdulrahman,It is a great product but it's fragile.,"I didn't expect it had plastic underneath. It's a good product, no sounds but it's a fragile one.",04-07-2022,3 out of 5
by Olatubora,Nice mouse,I really enjoyed the moude,28-06-2022,5 out of 5
by Fisayo,perfect and smooth...charges well,Excellent ???? mouse...,28-06-2022,5 out of 5
by Gene,the product is good just as in description,Am so loving this mouse is fast and noiseless  with smooth operation...,27-06-2022,5 out of 5
by MGK,I Love it,Sleek and fast,27-06-2022,5 out of 5
by ADEBUKOLA,good,"The item is great, try not to allow it fall so it doesn't spoil this the second one I'm getting because it's great.",24-06-2022,5 out of 5
by CYNTHIA,Nice product,"I like the fact that the clicks are noiseless and it lasts long, also it's rechargeable",21-06-2022,5 out of 5
by James,superb,exactly what was displayed,20-06-2022,5 out of 5
by Babatunde Adeniji,????????,Smoooooth efficiency,17-06-2022,5 out of 5
by Ajare,efficient,"Effective and durable. Simple use and last long
Lights too.",13-06-2022,5 out of 5
by Cornelius,excellent,"The ambience is perfect, battery life superb, feel and clicks us soft and noiseless...I recommend.",13-06-2022,5 out of 5
by Oghenerukevwe,I like it,Very good product. Worth your money,13-06-2022,5 out of 5
by Elizabeth,I like it,The battery last long,13-06-2022,5 out of 5
by Flukeman,Value,"I got value for money.
I love it♥️",10-06-2022,5 out of 5
by Olalekan,I love it,It works fine as expected,08-06-2022,5 out of 5
by Israel onoyovwere,wireless mouse,The mouse is perfect and working well but the device can be improved by increasing the power size.,07-06-2022,4 out of 5
by OWEN,love it,love it,06-06-2022,5 out of 5
by Ruth,Good,Good good,06-06-2022,5 out of 5
by Adegoke,Lovely..,it's about 48hrs now ... without charging.. super fast and so durable .. nice products,03-06-2022,5 out of 5
by Bashir,Slick,"Love it!
It is the perfect little thing, so smooth....",03-06-2022,5 out of 5
by Akang,I Love it,Excellent,31-05-2022,5 out of 5
by AKINS,good,Perfect,31-05-2022,4 out of 5
by Ranbir Singh,Awesome,Works smooth,31-05-2022,5 out of 5
by Samuel,shape,It very simple and beautiful,31-05-2022,5 out of 5
by Ngwuebo,great,It's very soft and accurate,30-05-2022,5 out of 5
by Busayo,Your computer will thank you,"Getting this feels like my computer finally got a Victoria Secret model for a girlfriend. Immediately elevates the status of your ""tech-bro-ness"". Everyone who's seen me with this mouse wants to go away with it.
It's beautiful and super efficient, no annoying click sound and lasts for days without charge. Its definitely more value for money",30-05-2022,5 out of 5
by Emmanuel,Exactly what I ordered,Satisfactory ????,30-05-2022,5 out of 5
by Mubarock,Excellent,I didn't expect that much tho... thought it was going to be bad but it wasn't... working perfectly well,30-05-2022,4 out of 5
by VICTOR,rechargeable mouse,Very smart and accurate,30-05-2022,5 out of 5
by chukwuemeka,perfect,It's so cool. Noiseless and fast installation. Just plug and play,27-05-2022,4 out of 5
by ADEWALE,I like it,The product is nice one wow been the first time using wireless mice,27-05-2022,5 out of 5
by ADEDOKUN,I Like it,It's a nice product.,27-05-2022,5 out of 5
by Oladotun Akinfenwa,Good,Works as described.,26-05-2022,4 out of 5
by Umuefe Godswill,Better,I love it,25-05-2022,5 out of 5
by Adedamola Bashir,Good,It’s okay,25-05-2022,3 out of 5
by Toluwalope Adesina,I love it,I love it,25-05-2022,5 out of 5
by Barry Sticks,I love it,It came as described and is effectively operative,24-05-2022,5 out of 5
by Ajewole,good,work's perfectly,24-05-2022,5 out of 5
by BABATUNDE ADEGUNWA,Sleek,"It’s just beautiful, exactly what was displayed",23-05-2022,5 out of 5
by Gilead,I like it,"Sleek, long lasting and colurful!!!",23-05-2022,4 out of 5
by Jude,good product,Works perfectly,23-05-2022,5 out of 5
by Adedotun,5-Star Product,Product is as exactly published.,20-05-2022,5 out of 5
by Aminu,I like it,"This is my first time to use wireless mouse, It's really amazing",19-05-2022,4 out of 5
by Marvellous,Slick,Nice and light weight,19-05-2022,5 out of 5
by CELESTINE,accurate,"Works perfectly well.
Very fast",19-05-2022,3 out of 5
by Joseph,Very lovely,Mouse is sleek and battery is long lasting.,18-05-2022,5 out of 5
by Mogul,Very Cool.,I enjoy using the Mouse,16-05-2022,5 out of 5
by Adeniyi Joshua,Excellent,I love it. It works perfectly. I recommend this product,16-05-2022,5 out of 5
by OLUTUSIN,Its good,Give it a 5 star,16-05-2022,5 out of 5
by Esther Amaka,The flow,So comfortable,16-05-2022,5 out of 5
by Umar,it is good and easy to use,It is better,13-05-2022,5 out of 5
by UZER,perfect,Very nice and easy to use,13-05-2022,5 out of 5
by Oyekanmi,I love it ????????????????,Awesome and working perfectly without no guide line,13-05-2022,5 out of 5
by Jvs,Very beautiful,Very beautiful,13-05-2022,5 out of 5
by SHERIF,its fantastic,It's good,13-05-2022,4 out of 5
by Ayodele,Great,"It was perfect, just as described.",12-05-2022,5 out of 5
by Imran,I Don't like it,I was so happy when it arrived but it fell down once and now it's broken even though it was not a big drop,12-05-2022,2 out of 5
by Oladele,I like it,It's a good product,12-05-2022,4 out of 5
by matthew,matthew,"It's connectivity is superb, and the battery life is really good",11-05-2022,5 out of 5
by Sulaimon Olamilekan Oyeleke,Stylish Design,I love my delivery,10-05-2022,5 out of 5
by Sadiq,Good,Good product. Love the way it doesn't produce click sounds,09-05-2022,4 out of 5
by hardhe,Good,Good product nice experience,06-05-2022,4 out of 5
by Ajilore,smooth,"Mouse is smooth, lovely and slick",05-05-2022,5 out of 5
by Chimdinma,Really great product,"The product was good, so far the battery has been lasting well and it doesn't make any noise when clicked",04-05-2022,4 out of 5
by momo,lovely,My husband loved the mouse,02-05-2022,4 out of 5
by ADEGOKE,usability,Product   as  Described,02-05-2022,5 out of 5
by Caleb,mouse,Very portable to the hand,02-05-2022,5 out of 5
by abiola,good,Exactly what I was expecting and more. Good for design or illustration,02-05-2022,4 out of 5
by Adebayo,Great,Works great,02-05-2022,3 out of 5
by King Oliseh,I love it,Good product. Better than I expected,02-05-2022,5 out of 5
by Adeyemi,Forget about the price and place the order now!!,"Trust me this mouse is the bomb!!! You will love the LED rainbow light while working in the night. The battery longitivity is okay too 

Improvement tips: There isn’t enough friction on the scroll wheel",02-05-2022,5 out of 5
